

         tot_reg 

              14


     tot_reg_dif 

              10


import liq   pedido            val_liq          val_ctb          val_dif 

1      1     SM0662   13956.1339960000 14800.0000000000  -843.8660040000
3      3     SM-664   46285.8398347630 47029.8800000000  -744.0401652370
14     15    SP0002   72560.3100324432 73271.6900000000  -711.3799675568
8      10    SM0002   57095.1107140228 57107.5800000000   -12.4692859772
9      9     SP0001    3413.1850643032  3419.9200000000    -6.7349356968
2      2     SM0665   23120.9658449796 23120.9800000000    -0.0141550204
4      4     SM0001     576.4910000000   576.5000000000    -0.0090000000
15     16    SM0007     569.4590000003   569.4500000000     0.0090000003
11     12    SM0006     265.3700000000   265.3600000000     0.0100000000
13     14    SP0004       9.9999999933     9.3300000000     0.6699999933
