

         tot_reg 

             239


     tot_reg_dif 

             218


import liq   pedido            val_liq          val_ctb          val_dif 

6      7     A-5508       0.0000000000 196574.350000000 -196574.35000000
17     17    A-5519       0.0000000000 151765.710000000 -151765.71000000
19     18    A-5481       0.0000000000 69234.6900000000 -69234.690000000
8      6     A-5507       0.0000000000 65549.0800000000 -65549.080000000
16     16    A-5512       0.0000000000 50338.9700000000 -50338.970000000
1      1     A-5501       0.0000000000 48912.3600000000 -48912.360000000
20     20    A-5521       0.0000000000 36932.1100000000 -36932.110000000
3      3     A-5499       0.0000000000 36711.8200000000 -36711.820000000
15     15    A-5510       0.0000000000 23839.6600000000 -23839.660000000
12     13    A-5513       0.0000000000 22027.6300000000 -22027.630000000
2      2     A-5503       0.0000000000 10164.9000000000 -10164.900000000
7      8     A-5506       0.0000000000 10089.9600000000 -10089.960000000
14     10    A-5498       0.0000000000 10000.0000000000 -10000.000000000
21     21    A-5522       0.0000000000  5502.3600000000 -5502.3600000000
9      9     A-5516       0.0000000000  2378.9100000000 -2378.9100000000
18     19    A-5528       0.0000000000  2320.0300000000 -2320.0300000000
5      5     A-5517       0.0000000000  1478.8300000000 -1478.8300000000
11     12    A-5523       0.0000000000  1006.5200000000 -1006.5200000000
4      4     A-5527       0.0000000000   719.8000000000  -719.8000000000
13     14    A-5524       0.0000000000   249.4400000000  -249.4400000000
23     23    A-5531   13024.6044418716 13225.1800000000  -200.5755581284
112    127   A-5601   60853.0480001126 60919.1100000000   -66.0619998874
10     11    A-5529       0.0000000000    29.0000000000   -29.0000000000
135    151   A-5623   62999.5425010265 63015.3200000000   -15.7774989735
66     75    A-5553   45438.8839606160 45446.9800000000    -8.0960393840
196    213   A-5704   106199.948861904 106201.670000000    -1.7211380963
50     55    A-5567    3331.1999999830  3332.9000000000    -1.7000000170
61     69    A-5566    5490.3399999300  5492.0000000000    -1.6600000700
150    166   A-5647   30655.2166748588 30656.4600000000    -1.2433251412
197    214   A-5699   99521.7686829289 99523.0000000000    -1.2313170711
227    245   A-5717   15245.2650000225 15246.1800000000    -0.9149999775
